,time,open,high,low,close
0,2018-08-08 00:00:00,3.1849e-06,3.2236e-06,3.0038999999999997e-06,3.023e-06
1,2018-08-07 00:00:00,2.9315e-06,3.4513e-06,2.88e-06,3.1852e-06
2,2018-08-06 00:00:00,2.9706e-06,3.0376e-06,2.8014999999999998e-06,2.9259e-06
3,2018-08-05 00:00:00,2.8902999999999997e-06,3.0351e-06,2.7595e-06,2.9721e-06
4,2018-08-04 00:00:00,2.8523e-06,3.0387000000000002e-06,2.8151e-06,2.8449e-06
5,2018-08-03 00:00:00,3.0897000000000003e-06,3.1897e-06,2.61e-06,2.863e-06
6,2018-08-02 00:00:00,3.0063e-06,3.2e-06,2.7788e-06,3.0897000000000003e-06
7,2018-08-01 00:00:00,3.0913e-06,3.1192e-06,2.8005e-06,3.0097e-06
8,2018-07-31 00:00:00,3.2955e-06,3.4034e-06,3.004e-06,3.0944999999999998e-06
9,2018-07-30 00:00:00,3.4404e-06,3.5612e-06,3.18e-06,3.271e-06
10,2018-07-29 00:00:00,3.6216e-06,3.648e-06,2.9916000000000003e-06,3.4404e-06
11,2018-07-28 00:00:00,3.7914e-06,3.9196e-06,3.5005e-06,3.6014999999999997e-06
12,2018-07-27 00:00:00,3.9656e-06,4.072e-06,3.6933999999999997e-06,3.7918000000000003e-06
13,2018-07-26 00:00:00,3.9891000000000005e-06,4.14e-06,3.8247e-06,3.9248e-06
14,2018-07-25 00:00:00,3.9156e-06,4.0612999999999996e-06,3.5425999999999998e-06,3.9694e-06
15,2018-07-24 00:00:00,4.3756e-06,4.5042e-06,3.7002999999999995e-06,3.9101999999999994e-06
16,2018-07-23 00:00:00,4.6631e-06,4.7282e-06,4.3568e-06,4.3733e-06
17,2018-07-22 00:00:00,4.8682e-06,6.1e-06,4.5884e-06,4.6654e-06
18,2018-07-21 00:00:00,4.6793e-06,4.9253e-06,4.42e-06,4.8681e-06
19,2018-07-20 00:00:00,5.0802999999999995e-06,5.1163e-06,4.6101999999999995e-06,4.6793e-06
20,2018-07-19 00:00:00,5.3809000000000004e-06,5.4786e-06,4.9413e-06,5.1003e-06
21,2018-07-18 00:00:00,5.4889e-06,5.4897e-06,5.3110000000000005e-06,5.395e-06
22,2018-07-17 00:00:00,5.4644000000000006e-06,5.7267e-06,5.400700000000001e-06,5.4895000000000006e-06
23,2018-07-16 00:00:00,5.3953e-06,5.893300000000001e-06,5.37e-06,5.464500000000001e-06
24,2018-07-15 00:00:00,5.3449e-06,5.600499999999999e-06,5.290700000000001e-06,5.3954e-06
25,2018-07-14 00:00:00,5.620299999999999e-06,5.7899e-06,5.2e-06,5.3616e-06
26,2018-07-13 00:00:00,5.4864e-06,5.6751e-06,4.8e-06,5.6108000000000006e-06
27,2018-07-12 00:00:00,5.4352999999999994e-06,6.5899e-06,5.3603999999999995e-06,5.485499999999999e-06
28,2018-07-11 00:00:00,5.2585000000000006e-06,5.7371000000000005e-06,5.15e-06,5.4498e-06
29,2018-07-10 00:00:00,5.614e-06,5.675e-06,5.0001e-06,5.2585000000000006e-06
