,time,open,high,low,close
0,2018-08-08 00:00:00,2.589e-05,3.19e-05,2.3899999999999998e-05,2.394e-05
1,2018-08-07 00:00:00,2.374e-05,2.7000000000000002e-05,2.349e-05,2.572e-05
2,2018-08-06 00:00:00,2.435e-05,2.459e-05,2.33e-05,2.381e-05
3,2018-08-05 00:00:00,2.313e-05,2.5e-05,2.311e-05,2.433e-05
4,2018-08-04 00:00:00,2.396e-05,2.583e-05,2.311e-05,2.312e-05
5,2018-08-03 00:00:00,2.441e-05,2.504e-05,2.322e-05,2.408e-05
6,2018-08-02 00:00:00,2.517e-05,2.585e-05,2.433e-05,2.437e-05
7,2018-08-01 00:00:00,2.5300000000000002e-05,2.585e-05,2.45e-05,2.537e-05
8,2018-07-31 00:00:00,2.582e-05,2.655e-05,2.5e-05,2.529e-05
9,2018-07-30 00:00:00,2.666e-05,2.678e-05,2.559e-05,2.582e-05
10,2018-07-29 00:00:00,2.504e-05,2.68e-05,2.5e-05,2.6700000000000002e-05
11,2018-07-28 00:00:00,2.625e-05,2.727e-05,2.402e-05,2.503e-05
12,2018-07-27 00:00:00,2.709e-05,2.767e-05,2.5e-05,2.626e-05
13,2018-07-26 00:00:00,2.724e-05,2.8000000000000003e-05,2.68e-05,2.708e-05
14,2018-07-25 00:00:00,2.598e-05,2.897e-05,2.433e-05,2.724e-05
15,2018-07-24 00:00:00,2.705e-05,2.7300000000000003e-05,2.418e-05,2.602e-05
16,2018-07-23 00:00:00,2.793e-05,2.798e-05,2.605e-05,2.705e-05
17,2018-07-22 00:00:00,2.838e-05,2.889e-05,2.723e-05,2.793e-05
18,2018-07-21 00:00:00,2.957e-05,3.008e-05,2.8000000000000003e-05,2.837e-05
19,2018-07-20 00:00:00,3.032e-05,3.158e-05,2.8999999999999997e-05,2.957e-05
20,2018-07-19 00:00:00,3.154e-05,3.208e-05,2.945e-05,3.061e-05
21,2018-07-18 00:00:00,2.928e-05,3.198e-05,2.8800000000000002e-05,3.154e-05
22,2018-07-17 00:00:00,2.97e-05,3.238e-05,2.819e-05,2.932e-05
23,2018-07-16 00:00:00,2.884e-05,3.071e-05,2.839e-05,2.993e-05
24,2018-07-15 00:00:00,2.833e-05,2.935e-05,2.801e-05,2.881e-05
25,2018-07-14 00:00:00,2.902e-05,2.997e-05,2.814e-05,2.843e-05
26,2018-07-13 00:00:00,2.824e-05,3.013e-05,2.813e-05,2.901e-05
27,2018-07-12 00:00:00,3.01e-05,3.153e-05,2.8199999999999998e-05,2.839e-05
28,2018-07-11 00:00:00,3.197e-05,3.268e-05,2.923e-05,3.01e-05
29,2018-07-10 00:00:00,3.398e-05,3.398e-05,2.9999999999999997e-05,3.2e-05
30,2018-07-09 00:00:00,3.26e-05,3.45e-05,3.201e-05,3.397e-05
31,2018-07-08 00:00:00,3.232e-05,3.539e-05,3.195e-05,3.27e-05
32,2018-07-07 00:00:00,3.454e-05,3.7e-05,3.188e-05,3.236e-05
33,2018-07-06 00:00:00,3.759e-05,3.885e-05,3.262e-05,3.455e-05
34,2018-07-05 00:00:00,3.666e-05,4.1e-05,3.586e-05,3.76e-05
35,2018-07-04 00:00:00,3.678e-05,4.079e-05,3.3799999999999995e-05,3.667e-05
36,2018-07-03 00:00:00,2.964e-05,3.998e-05,2.955e-05,3.679e-05
37,2018-07-02 00:00:00,2.952e-05,3.2500000000000004e-05,2.8999999999999997e-05,2.957e-05
38,2018-07-01 00:00:00,2.8199999999999998e-05,3.078e-05,2.8000000000000003e-05,2.979e-05
39,2018-06-30 00:00:00,2.7600000000000003e-05,2.917e-05,2.717e-05,2.823e-05
40,2018-06-29 00:00:00,2.656e-05,3.031e-05,2.6000000000000002e-05,2.7600000000000003e-05
41,2018-06-28 00:00:00,2.626e-05,2.662e-05,2.182e-05,2.657e-05
42,2018-06-27 00:00:00,2.587e-05,2.627e-05,2.412e-05,2.627e-05
43,2018-06-26 00:00:00,2.545e-05,2.688e-05,2.503e-05,2.575e-05
44,2018-06-25 00:00:00,2.471e-05,2.631e-05,2.411e-05,2.547e-05
45,2018-06-24 00:00:00,2.349e-05,2.558e-05,2.165e-05,2.478e-05
46,2018-06-23 00:00:00,2.453e-05,2.58e-05,2.248e-05,2.353e-05
47,2018-06-22 00:00:00,2.714e-05,2.744e-05,2.357e-05,2.449e-05
48,2018-06-21 00:00:00,2.959e-05,2.977e-05,2.603e-05,2.709e-05
49,2018-06-20 00:00:00,3.036e-05,3.271e-05,2.789e-05,2.952e-05
50,2018-06-19 00:00:00,2.659e-05,3.224e-05,2.625e-05,3.039e-05
51,2018-06-18 00:00:00,2.603e-05,2.721e-05,2.552e-05,2.643e-05
52,2018-06-17 00:00:00,2.664e-05,2.689e-05,2.537e-05,2.582e-05
53,2018-06-16 00:00:00,2.615e-05,2.718e-05,2.58e-05,2.664e-05
54,2018-06-15 00:00:00,2.744e-05,2.755e-05,2.573e-05,2.6300000000000002e-05
55,2018-06-14 00:00:00,2.662e-05,2.762e-05,2.517e-05,2.75e-05
56,2018-06-13 00:00:00,2.625e-05,2.72e-05,2.56e-05,2.675e-05
57,2018-06-12 00:00:00,2.619e-05,2.78e-05,2.583e-05,2.611e-05
58,2018-06-11 00:00:00,2.948e-05,2.986e-05,2.559e-05,2.619e-05
59,2018-06-10 00:00:00,3.239e-05,3.26e-05,2.868e-05,2.95e-05
60,2018-06-09 00:00:00,3.221e-05,3.441e-05,3.2e-05,3.233e-05
61,2018-06-08 00:00:00,3.332e-05,3.367e-05,3.2e-05,3.217e-05
62,2018-06-07 00:00:00,3.428e-05,3.549e-05,3.265e-05,3.364e-05
63,2018-06-06 00:00:00,3.576e-05,3.684e-05,3.331e-05,3.427e-05
64,2018-06-05 00:00:00,3.572e-05,3.809e-05,3.32e-05,3.585e-05
65,2018-06-04 00:00:00,3.809e-05,3.904e-05,3.5e-05,3.572e-05
66,2018-06-03 00:00:00,4.038e-05,4.082e-05,3.731e-05,3.808e-05
67,2018-06-02 00:00:00,4.122e-05,4.192e-05,3.9200000000000004e-05,4.071e-05
68,2018-06-01 00:00:00,4.205e-05,4.389e-05,4.018e-05,4.122e-05
69,2018-05-31 00:00:00,4.057e-05,4.4e-05,3.974e-05,4.210000000000001e-05
70,2018-05-30 00:00:00,4.029e-05,4.1e-05,3.835e-05,4.054e-05
71,2018-05-29 00:00:00,4.076e-05,4.111e-05,3.801e-05,4.028e-05
72,2018-05-28 00:00:00,3.75e-05,4.091e-05,3.656e-05,4.084e-05
73,2018-05-27 00:00:00,3.596e-05,3.75e-05,3.527e-05,3.75e-05
74,2018-05-26 00:00:00,3.655e-05,3.75e-05,3.52e-05,3.571e-05
75,2018-05-25 00:00:00,3.735e-05,3.839e-05,3.603e-05,3.663e-05
76,2018-05-24 00:00:00,3.715e-05,3.897e-05,3.515e-05,3.737e-05
77,2018-05-23 00:00:00,4.027e-05,4.149e-05,3.673e-05,3.684e-05
78,2018-05-22 00:00:00,4.177e-05,4.442e-05,3.9899999999999994e-05,4.062e-05
79,2018-05-21 00:00:00,4.44e-05,4.741e-05,4.087e-05,4.177e-05
80,2018-05-20 00:00:00,4.184e-05,4.546e-05,3.961e-05,4.475e-05
81,2018-05-19 00:00:00,3.87e-05,4.2e-05,3.701e-05,4.2e-05
82,2018-05-18 00:00:00,3.714e-05,3.909e-05,3.6e-05,3.872e-05
83,2018-05-17 00:00:00,3.645e-05,4.012e-05,3.531e-05,3.735e-05
84,2018-05-16 00:00:00,3.891e-05,3.929999999999999e-05,3.6e-05,3.667e-05
85,2018-05-15 00:00:00,4.14e-05,4.177e-05,3.775e-05,3.867e-05
86,2018-05-14 00:00:00,4.179e-05,4.5e-05,3.8e-05,4.153e-05
87,2018-05-13 00:00:00,4.302e-05,4.474e-05,3.8e-05,4.178e-05
88,2018-05-12 00:00:00,4.269e-05,4.892e-05,3.429e-05,4.337e-05
89,2018-05-11 00:00:00,5.5100000000000004e-05,5.520000000000001e-05,4.05e-05,4.264e-05
90,2018-05-10 00:00:00,5.415e-05,5.6999999999999996e-05,5.041e-05,5.503e-05
91,2018-05-09 00:00:00,5.385e-05,5.773e-05,5e-05,5.415e-05
92,2018-05-08 00:00:00,5.88e-05,5.94e-05,5.004e-05,5.365e-05
93,2018-05-07 00:00:00,5.233e-05,5.988e-05,4.663e-05,5.878e-05
94,2018-05-06 00:00:00,4.177e-05,5.986e-05,3.972e-05,5.229e-05
95,2018-05-05 00:00:00,3.481e-05,4.285e-05,3.35e-05,4.177e-05
96,2018-05-04 00:00:00,4.001e-05,4.016e-05,3.312e-05,3.484e-05
97,2018-05-03 00:00:00,4.1e-05,4.499e-05,3.444e-05,4.016e-05
98,2018-05-02 00:00:00,3.4e-05,4.1e-05,3.112e-05,4.1e-05
99,2018-05-01 00:00:00,2.767e-05,3.4e-05,2.58e-05,3.361e-05
100,2018-04-30 00:00:00,2.78e-05,2.899e-05,2.505e-05,2.759e-05
101,2018-04-29 00:00:00,2.478e-05,2.899e-05,2.412e-05,2.788e-05
102,2018-04-28 00:00:00,2.493e-05,2.549e-05,2.309e-05,2.468e-05
103,2018-04-27 00:00:00,2.671e-05,2.75e-05,2.4100000000000003e-05,2.493e-05
104,2018-04-26 00:00:00,2.6600000000000003e-05,2.827e-05,2.51e-05,2.652e-05
105,2018-04-25 00:00:00,2.821e-05,3.077e-05,2.45e-05,2.657e-05
106,2018-04-24 00:00:00,3.029e-05,3.16e-05,2.708e-05,2.822e-05
107,2018-04-23 00:00:00,3.021e-05,3.5e-05,2.727e-05,3.031e-05
108,2018-04-22 00:00:00,2.699e-05,3.157e-05,2.435e-05,3.022e-05
109,2018-04-21 00:00:00,2.764e-05,2.9999999999999997e-05,2.503e-05,2.698e-05
110,2018-04-20 00:00:00,2.666e-05,2.907e-05,2.531e-05,2.763e-05
111,2018-04-19 00:00:00,2.4299999999999998e-05,2.7000000000000002e-05,2.3e-05,2.665e-05
112,2018-04-18 00:00:00,2.45e-05,2.65e-05,2.379e-05,2.4299999999999998e-05
113,2018-04-17 00:00:00,2.227e-05,2.617e-05,2.0300000000000002e-05,2.45e-05
114,2018-04-16 00:00:00,2.335e-05,2.354e-05,2.221e-05,2.227e-05
115,2018-04-15 00:00:00,2.433e-05,2.438e-05,2.301e-05,2.336e-05
116,2018-04-14 00:00:00,2.436e-05,2.541e-05,2.347e-05,2.434e-05
117,2018-04-13 00:00:00,2.462e-05,2.539e-05,2.221e-05,2.435e-05
118,2018-04-12 00:00:00,2.518e-05,2.645e-05,2.45e-05,2.462e-05
119,2018-04-11 00:00:00,2.496e-05,2.531e-05,2.44e-05,2.518e-05
120,2018-04-10 00:00:00,2.499e-05,2.549e-05,2.462e-05,2.496e-05
121,2018-04-09 00:00:00,2.683e-05,2.694e-05,2.468e-05,2.499e-05
122,2018-04-08 00:00:00,2.582e-05,2.758e-05,2.541e-05,2.683e-05
123,2018-04-07 00:00:00,2.599e-05,2.613e-05,2.541e-05,2.581e-05
124,2018-04-06 00:00:00,2.6300000000000002e-05,2.647e-05,2.538e-05,2.599e-05
125,2018-04-05 00:00:00,2.628e-05,2.918e-05,2.531e-05,2.628e-05
126,2018-04-04 00:00:00,2.557e-05,2.726e-05,2.496e-05,2.627e-05
127,2018-04-03 00:00:00,2.483e-05,2.557e-05,2.483e-05,2.557e-05
128,2018-04-02 00:00:00,2.449e-05,2.6000000000000002e-05,2.435e-05,2.484e-05
129,2018-04-01 00:00:00,2.604e-05,2.6600000000000003e-05,2.42e-05,2.443e-05
130,2018-03-31 00:00:00,2.609e-05,2.764e-05,2.55e-05,2.605e-05
131,2018-03-30 00:00:00,2.867e-05,2.933e-05,2.567e-05,2.606e-05
132,2018-03-29 00:00:00,3.068e-05,3.085e-05,2.688e-05,2.867e-05
133,2018-03-28 00:00:00,2.678e-05,3.489e-05,2.562e-05,3.065e-05
134,2018-03-27 00:00:00,2.636e-05,2.749e-05,2.576e-05,2.678e-05
135,2018-03-26 00:00:00,2.497e-05,2.6899999999999997e-05,2.453e-05,2.635e-05
136,2018-03-25 00:00:00,2.386e-05,2.8000000000000003e-05,2e-05,2.492e-05
137,2018-03-24 00:00:00,2.304e-05,2.728e-05,2.235e-05,2.391e-05
138,2018-03-23 00:00:00,2.212e-05,2.329e-05,2.197e-05,2.305e-05
139,2018-03-22 00:00:00,2.074e-05,2.307e-05,2.043e-05,2.205e-05
140,2018-03-21 00:00:00,2.052e-05,2.097e-05,1.99e-05,2.072e-05
141,2018-03-20 00:00:00,1.956e-05,2.099e-05,1.927e-05,2.051e-05
142,2018-03-19 00:00:00,1.824e-05,1.98e-05,1.75e-05,1.955e-05
143,2018-03-18 00:00:00,1.727e-05,1.9e-05,1.722e-05,1.825e-05
144,2018-03-17 00:00:00,1.685e-05,1.769e-05,1.681e-05,1.723e-05
145,2018-03-16 00:00:00,1.648e-05,1.777e-05,1.62e-05,1.687e-05
146,2018-03-15 00:00:00,1.702e-05,1.727e-05,1.6100000000000002e-05,1.649e-05
147,2018-03-14 00:00:00,1.6800000000000002e-05,1.765e-05,1.677e-05,1.702e-05
148,2018-03-13 00:00:00,1.667e-05,1.98e-05,1.597e-05,1.683e-05
149,2018-03-12 00:00:00,1.674e-05,1.702e-05,1.622e-05,1.691e-05
150,2018-03-11 00:00:00,1.599e-05,1.696e-05,1.555e-05,1.677e-05
151,2018-03-10 00:00:00,1.591e-05,1.688e-05,1.565e-05,1.596e-05
152,2018-03-09 00:00:00,1.561e-05,1.65e-05,1.4999999999999999e-05,1.589e-05
153,2018-03-08 00:00:00,2.205e-05,2.333e-05,1.438e-05,1.561e-05
154,2018-03-07 00:00:00,2.312e-05,2.367e-05,2.138e-05,2.207e-05
155,2018-03-06 00:00:00,2.487e-05,2.495e-05,2.275e-05,2.312e-05
156,2018-03-05 00:00:00,2.425e-05,2.501e-05,2.251e-05,2.481e-05
157,2018-03-04 00:00:00,2.469e-05,2.484e-05,2.302e-05,2.426e-05
158,2018-03-03 00:00:00,2.265e-05,2.605e-05,2.228e-05,2.469e-05
159,2018-03-02 00:00:00,2.375e-05,2.461e-05,2.25e-05,2.266e-05
160,2018-03-01 00:00:00,2.408e-05,2.422e-05,2.292e-05,2.374e-05
161,2018-02-28 00:00:00,2.58e-05,2.59e-05,2.4e-05,2.408e-05
162,2018-02-27 00:00:00,2.419e-05,2.613e-05,2.338e-05,2.572e-05
163,2018-02-26 00:00:00,2.454e-05,2.494e-05,2.157e-05,2.415e-05
164,2018-02-25 00:00:00,2.712e-05,2.739e-05,2.386e-05,2.453e-05
165,2018-02-24 00:00:00,2.796e-05,2.8300000000000003e-05,2.501e-05,2.714e-05
166,2018-02-23 00:00:00,2.763e-05,3.2e-05,2.644e-05,2.798e-05
167,2018-02-22 00:00:00,2.827e-05,2.9999999999999997e-05,2.744e-05,2.762e-05
