,id,open,close,low,high,amount,vol,count
0,2018-08-08 00:00:00,26.96,24.2,24.11,27.01,26132.395916983303,662144.3158975426,5535.0
1,2018-08-07 00:00:00,26.66,26.95,25.66,27.8,32512.679106725376,860732.24204614,8380.0
2,2018-08-06 00:00:00,26.99,26.69,26.46,28.31,39439.00114643117,1079565.6813885889,6404.0
3,2018-08-05 00:00:00,26.44,26.94,26.1,27.35,32180.114619018135,857796.7050828841,3725.0
4,2018-08-04 00:00:00,27.69,26.44,26.15,28.72,37886.770707527285,1043517.6887298267,5175.0
5,2018-08-03 00:00:00,27.96,27.7,26.57,28.46,31454.039710232548,863293.45272712,7440.0
6,2018-08-02 00:00:00,29.82,27.94,27.71,30.03,41617.078007875636,1200629.157150717,9015.0
7,2018-08-01 00:00:00,30.01,29.82,28.52,30.63,48071.27370282115,1419917.7436066759,9388.0
8,2018-07-31 00:00:00,32.34,30.05,29.62,32.45,56006.61125690277,1738776.0813494702,9204.0
9,2018-07-30 00:00:00,33.71,32.34,32.25,33.78,21803.711913844356,719177.1144615022,6471.0
10,2018-07-29 00:00:00,32.82,33.73,32.79,34.34,23034.052283840316,775917.0895381183,7410.0
11,2018-07-28 00:00:00,33.39,32.78,32.57,33.93,22964.58341036054,762973.6282861707,6032.0
12,2018-07-27 00:00:00,34.47,33.34,32.05,34.89,30883.619432145144,1025832.7358999255,7692.0
13,2018-07-26 00:00:00,33.66,34.48,33.52,35.63,37532.99968177745,1307398.2837600252,8594.0
14,2018-07-25 00:00:00,34.19,33.72,33.4,35.59,62060.043038994874,2131212.5363763566,16957.0
15,2018-07-24 00:00:00,33.2,34.22,31.28,35.79,64601.870598800364,2150508.5957096512,19295.0
16,2018-07-23 00:00:00,34.39,33.19,32.61,34.8,50809.86276154598,1715426.0532004505,18398.0
17,2018-07-22 00:00:00,34.67,34.42,33.52,35.26,24117.55874699782,828273.6028316795,14677.0
18,2018-07-21 00:00:00,34.1,34.71,31.93,35.41,47639.86651566809,1583420.65828287,18087.0
19,2018-07-20 00:00:00,36.43,34.08,33.16,36.71,108158.90893655186,3744884.330459014,20336.0
20,2018-07-19 00:00:00,39.24,36.41,36.17,40.64,85960.38967240385,3240205.933329246,21490.0
21,2018-07-18 00:00:00,37.12,39.24,36.45,40.48,92434.47684931956,3621488.9650204675,22028.0
22,2018-07-17 00:00:00,36.53,37.14,35.62,37.8,65876.87335090693,2410995.8438896644,17963.0
23,2018-07-16 00:00:00,33.62,36.52,32.96,36.88,80634.6673739942,2800134.3259279155,16631.0
24,2018-07-15 00:00:00,32.33,33.59,31.88,34.0,43161.19011647298,1420788.605474,13374.0
25,2018-07-14 00:00:00,33.26,32.32,31.45,34.18,53988.258671271615,1766558.161935839,16410.0
26,2018-07-13 00:00:00,31.51,33.28,30.43,33.94,93378.3066716005,3063751.743147966,17266.0
27,2018-07-12 00:00:00,33.3,31.48,30.91,33.9,69515.05029703074,2240283.33691624,16465.0
28,2018-07-11 00:00:00,34.18,33.31,31.88,35.11,109850.07552388732,3663894.7736365013,18537.0
29,2018-07-10 00:00:00,38.49,34.18,32.86,38.55,137359.65956480108,4806706.829432165,20220.0
30,2018-07-09 00:00:00,39.62,38.47,37.85,40.2,33063.56438438512,1282542.32131663,10945.0
31,2018-07-08 00:00:00,36.69,39.64,36.23,41.16,124314.39565135856,4865502.259698511,17911.0
32,2018-07-07 00:00:00,37.66,36.66,36.13,37.96,57813.26944524719,2137140.548501577,13886.0
33,2018-07-06 00:00:00,41.72,37.59,36.8,42.31,131878.1114109791,5111090.685157679,21085.0
34,2018-07-05 00:00:00,38.54,41.81,38.17,43.88,152641.26701031238,6333568.108854484,23973.0
35,2018-07-04 00:00:00,36.44,38.55,34.86,40.49,143826.85817472893,5484034.58024706,21820.0
36,2018-07-03 00:00:00,36.38,36.44,35.39,38.88,87722.4308119296,3259142.4841184733,17614.0
