,id,open,close,low,high,amount,vol,count
0,2018-08-08 00:00:00,3.064e-05,3.001e-05,2.963e-05,3.065e-05,275607.1702661344,8.3176212748,5065.0
1,2018-08-07 00:00:00,3.108e-05,3.054e-05,3e-05,3.219e-05,892103.2394616276,27.563791348050927,10634.0
2,2018-08-06 00:00:00,3.241e-05,3.121e-05,3.07e-05,3.268e-05,322775.92589926755,10.2784391031,6842.0
3,2018-08-05 00:00:00,3.03e-05,3.233e-05,3.007e-05,3.307e-05,451202.55787314585,14.42646878777133,5470.0
4,2018-08-04 00:00:00,3.032e-05,3.011e-05,2.943e-05,3.073e-05,539118.4149482278,16.1663900529,10278.0
5,2018-08-03 00:00:00,3.12e-05,3.034e-05,2.907e-05,3.157e-05,567387.4634237058,17.083862390843645,9286.0
6,2018-08-02 00:00:00,3.377e-05,3.116e-05,3.083e-05,3.408e-05,788592.2142092339,26.3531949335,9110.0
7,2018-08-01 00:00:00,3.376e-05,3.372e-05,3.305e-05,3.517e-05,298984.25311850384,10.1628936652,8976.0
8,2018-07-31 00:00:00,3.563e-05,3.376e-05,3.321e-05,3.626e-05,447150.4198547181,15.454929180516473,9015.0
9,2018-07-30 00:00:00,3.702e-05,3.561e-05,3.515e-05,3.724e-05,286892.26722489396,10.3876176221,8715.0
10,2018-07-29 00:00:00,3.718e-05,3.695e-05,3.595e-05,3.736e-05,223849.29474310437,8.2285923793,9125.0
11,2018-07-28 00:00:00,3.647e-05,3.635e-05,3.618e-05,3.867e-05,350614.8552041326,12.9713791131,10113.0
12,2018-07-27 00:00:00,3.747e-05,3.646e-05,3.58e-05,4.035e-05,506104.0094403089,18.8934665207,10149.0
13,2018-07-26 00:00:00,3.572e-05,3.755e-05,3.558e-05,4.274e-05,916296.5708730613,35.3172195244,12152.0
14,2018-07-25 00:00:00,3.708e-05,3.608e-05,3.529e-05,3.724e-05,767721.6619778094,27.810752273723693,11712.0
15,2018-07-24 00:00:00,3.889e-05,3.722e-05,3.531e-05,3.951e-05,491299.1162620202,18.364556939524647,11993.0
16,2018-07-23 00:00:00,4.191e-05,3.903e-05,3.877e-05,4.304e-05,488416.95806261996,20.097701648618056,11557.0
17,2018-07-22 00:00:00,4.115e-05,4.18e-05,4.069e-05,4.278e-05,273385.7555767749,11.329264646144203,10102.0
