,time,open,high,low,close
0,2018-08-08 00:00:00,2.5012e-06,2.5594e-06,2.4076e-06,2.4683e-06
1,2018-08-07 00:00:00,2.5926e-06,2.7908e-06,2.4762e-06,2.4925e-06
2,2018-08-06 00:00:00,2.5148e-06,2.883e-06,2.4402e-06,2.6081e-06
3,2018-08-05 00:00:00,2.2916e-06,2.6479e-06,2.2636000000000002e-06,2.5145e-06
4,2018-08-04 00:00:00,2.2109e-06,2.55e-06,2.2062e-06,2.2831000000000002e-06
5,2018-08-03 00:00:00,2.2102e-06,2.2802e-06,2.0449e-06,2.2107e-06
6,2018-08-02 00:00:00,2.3017e-06,2.3274e-06,2.1706e-06,2.2092e-06
7,2018-08-01 00:00:00,2.2658e-06,2.4715999999999998e-06,2.2407e-06,2.3129e-06
8,2018-07-31 00:00:00,2.4678e-06,2.4855e-06,2.21e-06,2.265e-06
9,2018-07-30 00:00:00,2.4856999999999998e-06,2.5177e-06,2.41e-06,2.4769e-06
10,2018-07-29 00:00:00,2.5345e-06,2.5598e-06,2.4303e-06,2.4925e-06
11,2018-07-28 00:00:00,2.5362e-06,2.65e-06,2.5001e-06,2.5281999999999998e-06
12,2018-07-27 00:00:00,2.6125999999999998e-06,2.6411e-06,2.4841e-06,2.5362999999999998e-06
13,2018-07-26 00:00:00,2.508e-06,2.6470999999999996e-06,2.4962e-06,2.5954e-06
14,2018-07-25 00:00:00,2.4087e-06,2.7322000000000003e-06,2.3915e-06,2.5122e-06
15,2018-07-24 00:00:00,2.5071e-06,2.5296e-06,2.1383e-06,2.4072e-06
16,2018-07-23 00:00:00,2.6905e-06,2.6991e-06,2.4518999999999998e-06,2.4954e-06
17,2018-07-22 00:00:00,2.723e-06,2.7645e-06,2.6007e-06,2.6934e-06
18,2018-07-21 00:00:00,2.7828e-06,2.7941e-06,2.5632e-06,2.7231e-06
19,2018-07-20 00:00:00,3.0569e-06,3.0705e-06,2.6538e-06,2.7819e-06
20,2018-07-19 00:00:00,3.2352999999999998e-06,3.2860000000000004e-06,3.0137e-06,3.0376e-06
21,2018-07-18 00:00:00,3.1844999999999997e-06,3.6000000000000003e-06,3e-06,3.2104000000000002e-06
22,2018-07-17 00:00:00,3.2412e-06,3.39e-06,3.152e-06,3.1919e-06
23,2018-07-16 00:00:00,3.1908e-06,3.4733999999999996e-06,3.1793e-06,3.2456e-06
24,2018-07-15 00:00:00,3.1260000000000002e-06,3.2195e-06,3.0644e-06,3.1913e-06
25,2018-07-14 00:00:00,3.2229e-06,3.245e-06,3.0195e-06,3.1055e-06
26,2018-07-13 00:00:00,3.2054000000000003e-06,3.2995999999999997e-06,3.1335e-06,3.226e-06
27,2018-07-12 00:00:00,3.2377999999999997e-06,3.2715e-06,3.0733e-06,3.2304e-06
28,2018-07-11 00:00:00,3.3010000000000002e-06,3.3626e-06,2.95e-06,3.2335e-06
29,2018-07-10 00:00:00,3.6727e-06,3.8169e-06,3.2727e-06,3.3010000000000002e-06
30,2018-07-09 00:00:00,3.7364999999999997e-06,3.85e-06,3.5495e-06,3.6727e-06
31,2018-07-08 00:00:00,3.5815e-06,3.96e-06,3.5000000000000004e-06,3.7357e-06
32,2018-07-07 00:00:00,3.7926999999999997e-06,4.18e-06,3.55e-06,3.5869e-06
33,2018-07-06 00:00:00,3.9808999999999994e-06,4.067e-06,3.5041e-06,3.8156e-06
34,2018-07-05 00:00:00,4.2681e-06,4.5167e-06,3.9082999999999995e-06,3.9798e-06
35,2018-07-04 00:00:00,4.3729e-06,4.48e-06,4e-06,4.2682e-06
36,2018-07-03 00:00:00,4.0577999999999995e-06,4.55e-06,3.9082999999999995e-06,4.3725e-06
37,2018-07-02 00:00:00,3.3522000000000003e-06,4.5431e-06,3.3169e-06,4.073e-06
38,2018-07-01 00:00:00,3.4282e-06,3.8989999999999994e-06,3.3258e-06,3.3609e-06
39,2018-06-30 00:00:00,3.1183e-06,3.5322000000000002e-06,3.1e-06,3.4080000000000002e-06
40,2018-06-29 00:00:00,3.2477999999999996e-06,3.3514e-06,3.0878e-06,3.1182e-06
41,2018-06-28 00:00:00,3.1661e-06,3.269e-06,3.1177e-06,3.2560000000000003e-06
42,2018-06-27 00:00:00,3.2636e-06,3.5589e-06,3.1110000000000004e-06,3.1424e-06
43,2018-06-26 00:00:00,3.4612e-06,3.5204e-06,3.2132e-06,3.2645e-06
44,2018-06-25 00:00:00,3.3862e-06,3.5588e-06,3.2576e-06,3.4673000000000002e-06
45,2018-06-24 00:00:00,3.879e-06,3.9006e-06,3.3585e-06,3.3872000000000004e-06
46,2018-06-23 00:00:00,3.8192e-06,4.0931e-06,3.7000000000000006e-06,3.8898000000000004e-06
47,2018-06-22 00:00:00,3.6356e-06,4.19e-06,3.6044e-06,3.8181e-06
48,2018-06-21 00:00:00,3.8998e-06,3.96e-06,3.5029000000000004e-06,3.6431e-06
49,2018-06-20 00:00:00,4.0169e-06,4.1027e-06,3.8525e-06,3.9001999999999995e-06
50,2018-06-19 00:00:00,3.887e-06,4.1028e-06,3.853399999999999e-06,4.0328e-06
51,2018-06-18 00:00:00,3.9239e-06,3.9879e-06,3.8525e-06,3.8862e-06
52,2018-06-17 00:00:00,3.943e-06,4.1988e-06,3.9007e-06,3.9302999999999995e-06
53,2018-06-16 00:00:00,4.16e-06,4.195e-06,3.8866e-06,3.9441e-06
54,2018-06-15 00:00:00,4.0343000000000005e-06,4.216499999999999e-06,4.0004e-06,4.1473e-06
55,2018-06-14 00:00:00,4.0032999999999994e-06,4.2173e-06,3.8006e-06,4.0319e-06
56,2018-06-13 00:00:00,4.2629e-06,4.5e-06,3.987e-06,4.005e-06
57,2018-06-12 00:00:00,4.030299999999999e-06,4.5991000000000006e-06,4.019e-06,4.2892e-06
58,2018-06-11 00:00:00,4.4314e-06,4.4718e-06,4.010400000000001e-06,4.0301e-06
59,2018-06-10 00:00:00,4.7206999999999995e-06,4.9000000000000005e-06,4.4126e-06,4.4254e-06
60,2018-06-09 00:00:00,4.7702e-06,4.9424e-06,4.6e-06,4.7165e-06
61,2018-06-08 00:00:00,5.0314e-06,5.0772e-06,4.7333e-06,4.7748000000000004e-06
