time,open,low,close,high,vol
2018-08-02 15:09:31,4.663e-05,4.278e-05,4.299e-05,4.686e-05,34.4135599339
2018-08-02 15:09:33,4.663e-05,4.278e-05,4.299e-05,4.686e-05,34.4135599339
2018-08-02 15:09:34,4.663e-05,4.278e-05,4.299e-05,4.686e-05,34.4135599339
2018-08-02 15:09:36,4.663e-05,4.278e-05,4.299e-05,4.686e-05,34.4135599339
2018-08-02 15:09:38,4.663e-05,4.278e-05,4.325e-05,4.686e-05,34.4148881414
2018-08-02 15:09:39,4.663e-05,4.278e-05,4.325e-05,4.686e-05,34.4148881414
2018-08-02 15:09:40,4.663e-05,4.278e-05,4.325e-05,4.686e-05,34.4148881414
2018-08-02 15:09:42,4.663e-05,4.278e-05,4.325e-05,4.686e-05,34.4148881414
2018-08-02 15:09:43,4.663e-05,4.278e-05,4.325e-05,4.686e-05,34.4148881414
2018-08-02 15:09:45,4.663e-05,4.278e-05,4.325e-05,4.686e-05,34.4148881414
2018-08-02 15:09:46,4.663e-05,4.278e-05,4.325e-05,4.686e-05,34.4148881414
2018-08-02 15:09:48,4.663e-05,4.278e-05,4.325e-05,4.686e-05,34.4148881414
2018-08-02 15:09:49,4.663e-05,4.278e-05,4.325e-05,4.686e-05,34.4148881414
2018-08-02 15:09:51,4.663e-05,4.278e-05,4.325e-05,4.686e-05,34.4148881414
2018-08-02 15:09:54,4.663e-05,4.278e-05,4.325e-05,4.686e-05,34.4148881414
2018-08-02 15:09:55,4.663e-05,4.278e-05,4.325e-05,4.686e-05,34.4148881414
2018-08-02 15:09:57,4.663e-05,4.278e-05,4.325e-05,4.686e-05,34.4148881414
2018-08-02 15:09:58,4.663e-05,4.278e-05,4.325e-05,4.686e-05,34.4148881414
2018-08-02 15:09:59,4.663e-05,4.278e-05,4.325e-05,4.686e-05,34.4148881414
