time,open,low,close,high,vol
2018-08-02 15:57:45,6.64,6.56,6.79,6.98,1226252.4501898978
2018-08-02 15:57:48,6.64,6.56,6.79,6.98,1226252.4501898978
2018-08-02 15:57:51,6.64,6.56,6.79,6.98,1226288.0148518977
2018-08-02 15:57:54,6.64,6.56,6.79,6.98,1226288.0148518977
2018-08-02 15:57:57,6.64,6.56,6.79,6.98,1226288.0148518977
2018-08-02 15:58:00,6.64,6.56,6.79,6.98,1226288.0148518977
